CODIGO;NOMBRE PARTIDA;INICIAL
030101.53.03.01.000.000.001; Pasajes al Interior  CCH; 611.00 
030101.53.04.05.000.000.001; Vehiculos  CCH; 611.00 
030101.53.05.02.000.000.001; Edificios Locales y Residencias Parqueaderos Casilleros Judiciales y Bancari ; 11,934.00 
030101.53.08.02.000.000.001; Vestuario Lenceria Prendas de Proteccion y Accesorios para uniformes del pers CCH ; 612.00 
030101.53.08.04.000.000.001; Material de Oficina   CCH; 611.00 
030101.53.08.05.000.000.001; Material de aseo  CCH; 611.00 
030101.53.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Elect. Plom. CCH; 611.00 
030101.53.08.13.000.000.001;Repuestos y Accesorios CCH; 611.00 
030101.53.16.01.000.000.001; Fondos de Reposicion Cajas Chicas ; 500.00 
030101.57.01.02.000.000.001; Tasas generales impuestos contribuciones permisos licencias y patentes  CCH; 611.00 
030101.57.02.06.000.000.001; Costas Judiciales tramites notariales legalizacion de documentos y arreglos CCH; 611.00 
030102.51.01.05.000.000.001; Remuneraciones Unificadas  ; 75,576.00 
030102.51.02.03.000.000.001; Decimotercer Sueldo  ; 7,284.00 
030102.51.02.04.000.000.001; Decimocuarto Sueldo  ; 2,910.00 
030102.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030102.51.05.13.000.000.001;Encargos; 1,898.80 
030102.51.05.10.000.000.001;Servicios Personales por Contrato; 11,832.00 
030102.51.06.01.000.000.001; Aporte Patronal  ; 8,801.33 
030102.51.06.02.000.000.001; Fondo de Reserva  ; 7,439.26 
030102.51.07.04.000.000.001; Compensacion por Desahucio ; 8,000.00 
030102.51.07.07.000.000.001; Compensacion por Vacaciones  ; 2,662.00 
030102.53.03.01.000.000.001; Pasajes al Interior  ; 382.50 
030102.53.03.02.000.000.001;Pasajes al Exterior ; 3,825.00 
030102.53.03.03.000.000.001; Viaticos y Subsistencias en el Interior  ; 3,825.00 
030102.53.03.04.000.000.001;Vi ticos y Subsistencias al Exterior; 7,650.00 
030102.53.06.12.000.000.001; Capacitacion a Servidores Publicos ; 38,250.00 
030102.53.07.01.000.000.001; Desarrollo Actualizacion  Asistencia Tecnica y Soporte de Sistemas Informaticos; 3,060.00 
030102.53.08.02.000.000.001; Vestuario Lenceria Prendas de Proteccion y Accesorios para uniformes del pers ; 11,475.00 
030102.53.08.04.000.000.001; Material de Oficina  ; 382.50 
030102.53.08.07.000.000.001;Materiales de Impresión, Fotografía, Reproducción y Publicaciones; 3,825.00 
030102.57.02.01.000.000.001; Seguros  contrato colectivo; 9,357.00 
030102.84.01.04.000.000.001;Maquinarias y Equipos; 7,650.00 
030102.84.01.07.000.000.001;ipos, Sistemas y Paquetes Informáticos; 1,147.50 
030103.51.01.05.000.000.001; Remuneraciones Unificadas  ; 49,200.00 
030103.51.02.03.000.000.001; Decimotercer Sueldo  ; 4,100.00 
030103.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
030103.51.06.01.000.000.001; Aporte Patronal  ; 4,747.80 
030103.51.06.02.000.000.001; Fondo de Reserva  ; 4,256.53 
030103.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
030104.51.01.05.000.000.001; Remuneraciones Unificadas  ; 34,536.00 
030104.51.01.06.000.000.001; Salarios Unificados  ; 102,864.00 
030104.51.02.03.000.000.001; Decimotercer Sueldo  ; 14,321.00 
030104.51.02.04.000.000.001; Decimocuarto Sueldo  ; 10,670.00 
030104.51.03.04.000.000.001; Compensacion por Transporte  ; 1,980.00 
030104.51.03.06.000.000.001; Alimentacion  ; 10,890.00 
030104.51.04.08.000.000.001; Subsidio de Antiguedad ; 1,580.96 
030104.51.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 10,898.26 
030104.51.05.10.000.000.001; Servicios Personales por Contrato ; 34,452.00 
030104.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030104.51.06.01.000.000.001;  Aporte Patronal  ; 19,701.55 
030104.51.06.02.000.000.001;  Fondo de Reserva  ; 14,473.44 
030104.51.07.07.000.000.001; Compensacion por Vacaciones  ; 3,678.00 
030104.53.01.04.000.000.001; Energia Electrica  ; 380,000.00 
030104.53.01.05.000.000.001; Telecomunicaciones  ; 22,000.00 
030104.53.02.08.000.000.001; Servicio de seguridad y vigilancia   ; 206,550.00 
030104.53.02.55.000.000.001; Combustibles ; 85,000.00 
030104.53.04.02.000.000.001; Edificios Locales Residencias y Cableado Estructurado  ; 60,000.00 
030104.53.04.03.000.000.001; Mobiliarios  ; 1,912.50 
030104.53.04.05.000.000.001; Vehiculos  ; 60,000.00 
030104.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 5,355.00 
030104.53.08.04.000.000.001; Material de Oficina  ; 10,000.00 
030104.53.08.05.000.000.001; Material de aseo  ; 10,000.00 
030104.53.08.13.000.000.001; Repuestos y Accesorios  ; 60,000.00 
030104.57.01.02.000.000.001; Tasas generales impuestos contribuciones permisos licencias y patentes  ; 7,267.50 
030104.57.02.01.000.000.001; Seguros  ; 112,425.00 
030104.84.01.03.000.000.001;Mobiliarios; 18,250.00 
030105.51.01.05.000.000.001; Remuneraciones Unificadas  ; 47,688.00 
030105.51.02.03.000.000.001; Decimotercer Sueldo  ; 3,974.00 
030105.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
030105.51.06.01.000.000.001; Aporte Patronal  ; 4,601.89 
030105.51.06.02.000.000.001; Fondo de Reserva  ; 3,972.41 
030105.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
030105.53.02.26.000.000.001; Servicios Medicos Hospitalarios y Complementarios ; 7,650.00 
030105.53.04.04.000.000.001; Maquinarias y Equipos ; 1,530.00 
030105.53.08.05.000.000.001; Material de aseo  ; 2,295.00 
030105.53.08.26.000.000.001;Dispositivos M dicos de Uso General; 2,295.00 
030201.51.01.05.000.000.001; Remuneraciones Unificadas  ; 42,960.00 
030201.51.02.03.000.000.001; Decimotercer sueldo  ; 4,992.00 
030201.51.02.04.000.000.001; Decimocuarto sueldo  ; 1,455.00 
030201.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030201.51.05.10.000.000.001;Servicios Personales por Contrato; 16,944.00 
030201.51.06.01.000.000.001; Aporte Patronal  ; 5,963.97 
030201.51.06.02.000.000.001; Fondos de Reserva  ; 5,148.17 
030201.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,412.00 
030201.78.01.02.000.200.001; Capital Credito 65192 ; 1,194,579.76 
030201.78.01.02.000.201.001; Interes Credito 65192 ; 1,065,729.57 
030201.78.01.02.000.202.001; Comision Bancaria Credito 65192 ; 12,007.50 
030202.51.01.05.000.000.001; Remuneraciones Unificadas  ; 55,608.00 
030202.51.02.03.000.000.001; Decimotercer sueldo  ; 4,634.00 
030202.51.02.04.000.000.001; Decimocuarto sueldo  ; 1,940.00 
030202.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030202.51.06.01.000.000.001; Aporte Patronal  ; 5,549.40 
030202.51.06.02.000.000.001; Fondos de Reserva  ; 4,790.32 
030202.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
030202.53.06.01.000.000.001; Consultoria Asesoria e Investigacion Especializada ; 12,240.00 
030202.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos  ; 3,060.00 
030203.51.01.05.000.000.001; Remuneraciones Unificadas  ; 73,008.00 
030203.51.02.03.000.000.001; Decimotercer sueldo  ; 7,550.00 
030203.51.02.04.000.000.001; Decimocuarto sueldo  ; 3,880.00 
030203.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030203.51.05.10.000.000.001;Servicios Personales por Contrato; 17,592.00 
030203.51.06.01.000.000.001; Aporte Patronal  ; 8,926.13 
030203.51.06.02.000.000.001; Fondos de Reserva  ; 7,705.15 
030203.51.07.07.000.000.001; Compensacion por Vacaciones  ; 3,142.00 
030203.53.02.08.000.000.001;  Servicio de seguridad y vigilancia   ; 7,650.00 
030203.57.02.03.000.000.001; Comisiones Bancarias  ; 765.00 
030203.75.01.07.000.010.001; Construcciones y edificaciones  ; 30,600.00 
030203.58.01.02.000.000.001; A Entidades Descentralizadas y Autonomas  ; 34,425.00 
030204.51.01.05.000.000.001; Remuneraciones Unificadas  ; 14,544.00 
030204.51.02.03.000.000.001; Decimotercer sueldo  ; 1,212.00 
030204.51.02.04.000.000.001; Decimocuarto sueldo  ; 485.00 
030204.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030204.51.06.01.000.000.001; Aporte Patronal  ; 1,586.73 
030204.51.06.02.000.000.001; Fondos de Reserva  ; 1,369.69 
030204.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 76.50 
030204.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 1,453.50 
030205.51.01.05.000.000.001; Remuneraciones Unificadas  ; 66,144.00 
030205.51.01.06.000.000.001;  Salarios Unificados  ; 14,304.00 
030205.51.02.03.000.000.001; Decimotercer sueldo  ; 6,704.00 
030205.51.02.04.000.000.001; Decimocuarto sueldo  ; 2,910.00 
030205.51.03.04.000.000.001; Compensacion por Transporte  ; 264.00 
030205.51.03.06.000.000.001; Alimentacion  ; 1,452.00 
030205.51.04.08.000.000.001; Subsidio de Antiguedad ; 149.48 
030205.51.05.12.000.000.001; Subrogacion  ; 1,898.80 
030205.51.06.01.000.000.001; Aporte Patronal  ; 8,304.07 
030205.51.06.02.000.000.001; Fondos de Reserva  ; 6,859.49 
030205.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
030205.53.04.02.000.000.001; Edificios Locales Residencias y Cableado Estructurado  ; 7,650.00 
030205.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 765.00 
030205.53.07.01.000.000.001; Desarrollo Actualizacion  Asistencia Tecnica y Soporte de Sistemas Informaticos; 7,650.00 
030205.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 3,213.00 
030301.51.01.05.000.000.001; Remuneraciones Unificadas  ; 31,944.00 
030301.51.01.06.000.000.001;  Salarios Unificados  ; 6,732.00 
030301.51.02.03.000.000.001; Decimotercer Sueldo  ; 3,223.00 
030301.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
030301.51.03.04.000.000.001; Compensacion por Transporte  ; 132.00 
030301.51.03.06.000.000.001; Alimentacion  ; 726.00 
030301.51.04.08.000.000.001; Subsidio de Antiguedad ; 38.37 
030301.51.06.01.000.000.001; Aporte Patronal  ; 3,900.54 
030301.51.06.02.000.000.001; Fondo de Reserva  ; 3,221.72 
030301.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
030301.75.01.07.000.010.001; Construcciones y edificaciones  ; 38,250.00 
030301.84.01.03.000.000.001;Mobiliarios; 382.50 
030301.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 5,355.00 
030302.51.01.05.000.000.001; Remuneraciones Unificadas  ; 46,488.00 
030302.51.02.03.000.000.001; Decimotercer Sueldo  ; 5,086.00 
030302.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,940.00 
030302.51.05.10.000.000.001;Servicios Personales por Contrato; 14,544.00 
030302.51.06.01.000.000.001; Aporte Patronal  ; 5,889.59 
030302.51.06.02.000.000.001; Fondo de Reserva  ; 5,083.96 
030302.51.07.07.000.000.001; Compensacion por Vacaciones  ; 2,888.00 
030302.53.04.02.000.000.001; Edificios Locales Residencias y Cableado Estructurado  ; 16,830.00 
030302.53.07.01.000.000.001; Desarrollo Actualizacion  Asistencia Tecnica y Soporte de Sistemas Informaticos; 4,207.50 
030302.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 54,315.00 
030302.53.07.04.000.000.001; Mantenimiento y Reparacion de Equipos y Sistemas Informaticos  ; 3,060.00 
030302.53.08.04.000.000.001; Material de Oficina  ; 9,180.00 
030302.53.08.13.000.000.001; Repuestos y Accesorios ; 1,530.00 
030302.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 17,824.50 
030302.84.04.02.000.000.001; Licencias Computacionales ; 7,650.00 
030303.51.01.05.000.000.001; Remuneraciones Unificadas ; 28,776.00 
030303.51.02.03.000.000.001; Decimotercer Sueldo ; 2,398.00 
030303.51.02.04.000.000.001; Decimocuarto Sueldo ; 970.00 
030303.51.06.01.000.000.001; Aporte Patronal ; 2,776.88 
030303.51.06.02.000.000.001; Fondo de Reserva ; 2,397.04 
030303.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,412.00 
030303.53.04.04.000.000.001; Maquinarias y Equipos ; 2,295.00 
030303.53.08.02.000.000.001; Vestuario Lenceria Prendas de Proteccion y Accesorios para uniformes del pers ; 160,000.00 
040101.61.01.05.000.000.001; Remuneraciones Unificadas  ; 57,504.00 
040101.61.02.03.000.000.001; Decimotercer sueldo  ; 5,778.00 
040101.61.02.04.000.000.001; Decimocuarto Sueldo  ; 1,940.00 
040101.61.05.10.000.000.001;Servicios Personales por Contrato; 11,832.00 
040101.61.06.01.000.000.001; Aporte Patronal  ; 6,690.92 
040101.61.06.02.000.000.001; Fondos de Reserva  ; 5,775.69 
040101.61.07.07.000.000.001; Compensacion por Vacaciones  ; 3,354.00 
040101.67.01.02.000.000.001; Tasas generales impuestos contribuciones permisos licencias y patentes  ; 3,136.50 
040101.75.01.03.000.001.001;CONSTRUCCIÓN DE LA PLANTA DE TRATAMIENTO LA LIBERTAD ; 1,300,000.00 
040101.75.01.03.000.002.001;CONSTRUCCIÓN DE LA PLANTA DE TRATAMIENTO NOR ORIENTAL; 1,000,000.00 
040101.75.01.03.000.003.001;CONSTRUCCIÓN DEL SISTEMA INTEGRAL ALCANTARILLADO SANITARIO Y PTAR LAS ABRAS; 1,000,000.00 
040101.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 27,096.30 
040102.61.01.05.000.000.001; Remuneraciones Unificadas  ; 116,172.00 
040102.61.01.06.000.000.001;  Salarios Unificados  ; 34,716.00 
040102.61.02.03.000.000.001; Decimotercer sueldo  ; 21,132.00 
040102.61.02.04.000.000.001; Decimocuarto Sueldo  ; 10,185.00 
040102.61.03.04.000.000.001; Compensacion por Transporte  ; 660.00 
040102.61.03.06.000.000.001; Alimentacion  ; 3,630.00 
040102.61.04.08.000.000.001; Subsidio de Antiguedad ; 599.73 
040102.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 10,898.26 
040102.61.05.10.000.000.001; Servicios Personales por Contrato ; 102,696.00 
040102.61.06.01.000.000.001; Aporte Patronal  ; 25,504.65 
040102.61.06.02.000.000.001; Fondos de Reserva  ; 21,123.55 
040102.61.07.07.000.000.001; Compensacion por Vacaciones  ; 9,957.50 
040102.63.06.09.000.000.001; Investigaciones Profesionales y Analisis de Laboratorio ; 7,650.00 
040103.61.01.05.000.000.001; Remuneraciones Unificadas  ; 26,376.00 
040103.61.02.03.000.000.001; Decimotercer sueldo  ; 2,198.00 
040103.61.02.04.000.000.001; Decimocuarto Sueldo  ; 970.00 
040103.61.06.01.000.000.001; Aporte Patronal  ; 2,545.28 
040103.61.06.02.000.000.001; Fondos de Reserva  ; 2,197.12 
040103.63.04.04.000.000.001; Maquinarias y Equipos ; 3,442.50 
040103.63.06.01.000.000.001; Consultoria Asesoria e Investigacion Especializada ; 43,500.00 
040103.63.06.09.000.000.001; Investigaciones Profesionales y Analisis de Laboratorio ; 3,825.00 
040103.63.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Elect. Plom. ; 70,478.36 
040103.67.01.02.000.000.001; Tasas generales impuestos contribuciones permisos licencias y patentes  ; 141.53 
040103.84.01.04.000.000.001; Maquinarias y Equipos ; 11,475.00 
040201.61.01.05.000.000.001; Remuneraciones Unificadas  ; 28,416.00 
040201.61.02.03.000.000.001; Decimotercer Sueldo  ; 2,368.00 
040201.61.02.04.000.000.001; Decimocuarto Sueldo  ; 485.00 
040201.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 10,898.26 
040201.61.06.01.000.000.001; Aporte Patronal  ; 2,742.14 
040201.61.06.02.000.000.001; Fondos de Reserva  ; 2,367.05 
040201.61.07.07.000.000.001; Compensacion por Vacaciones  ; 2,368.00 
040201.84.01.05.000.000.001;Vehiculos; 45,000.00 
040202.61.01.05.000.000.001; Remuneraciones Unificadas  ; 308,176.00 
040202.61.01.06.000.000.001; Salarios Unificados  ; 626,842.31 
040202.61.02.03.000.000.001; Decimotercer Sueldo  ; 70,541.00 
040202.61.02.04.000.000.001; Decimocuarto Sueldo  ; 50,925.01 
040202.61.03.04.000.000.001; Compensacion por Transporte  ; 10,560.00 
040202.61.03.06.000.000.001; Alimentacion  ; 58,080.00 
040202.61.04.08.000.000.001; Subsidio de Antiguedad ; 13,978.44 
040202.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 54,491.27 
040202.61.05.10.000.000.001; Servicios Personales por Contrato ; 208,188.00 
040202.61.05.12.000.000.001; Subrogacion  ; 1,846.34 
040202.61.05.13.000.000.001;Encargos; 1,846.34 
040202.61.06.01.000.000.001; Aporte Patronal  ; 98,746.95 
040202.61.06.02.000.000.001; Fondos de Reserva  ; 70,838.38 
040202.61.07.06.000.000.001; Beneficio por Jubilacion ; 281,783.06 
040202.61.07.07.000.000.001; Compensacion por Vacaciones  ; 13,754.50 
040202.63.04.04.000.002.001; Mantenimiento de Pozos  ; 250,000.00 
040202.63.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Elect. Plom. ; 182,800.00 
040202.84.01.04.000.000.001; Maquinarias y Equipos ; 37,800.00 
040203.61.01.05.000.000.001; Remuneraciones Unificadas  ; 34,656.00 
040203.61.01.06.000.000.001; Salarios Unificados  ; 214,224.00 
040203.61.02.03.000.000.001; Decimotercer Sueldo  ; 26,182.00 
040203.61.02.04.000.000.001; Decimocuarto Sueldo  ; 18,915.00 
040203.61.03.04.000.000.001; Compensacion por Transporte  ; 3,828.00 
040203.61.03.06.000.000.001; Alimentacion  ; 21,054.00 
040203.61.04.08.000.000.001; Subsidio de Antiguedad ; 4,878.38 
040203.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 54,491.27 
040203.61.05.10.000.000.001; Servicios Personales por Contrato ; 65,304.00 
040203.61.05.12.000.000.001; Subrogacion  ; 1,846.34 
040203.61.06.01.000.000.001; Aporte Patronal  ; 37,121.53 
040203.61.06.02.000.000.001; Fondos de Reserva  ; 26,325.32 
040203.61.07.07.000.000.001; Compensacion por Vacaciones  ; 5,003.00 
040203.63.05.04.000.000.001;Maquinarias y Equipos; 7,650.00 
040203.63.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carp ; 818,922.14 
040203.63.08.13.000.000.001; Repuestos y Accesorios   ; 3,825.00 
040203.84.01.04.000.000.001; Maquinarias y Equipos ; 6,775.00 
040204.61.01.05.000.000.001; Remuneraciones Unificadas  ; 49,200.00 
040204.61.01.06.000.000.001; Salarios Unificados  ; 158,016.00 
040204.61.02.03.000.000.001; Decimotercer Sueldo  ; 20,586.00 
040204.61.02.04.000.000.001; Decimocuarto Sueldo  ; 14,550.00 
040204.61.03.04.000.000.001; Compensacion por Transporte  ; 2,772.00 
040204.61.03.06.000.000.001; Alimentacion  ; 15,246.00 
040204.61.04.08.000.000.001; Subsidio de Antiguedad ; 2,807.56 
040204.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 54,491.27 
040204.61.05.10.000.000.001; Servicios Personales por Contrato ; 39,816.00 
040204.61.06.01.000.000.001; Aporte Patronal  ; 28,784.38 
040204.61.06.02.000.000.001; Fondos de Reserva  ; 20,577.76 
040204.61.07.07.000.000.001; Compensacion por Vacaciones  ; 3,335.00 
040204.63.06.01.000.000.001; Consultoria Asesoria e Investigacion Especializada ; 235,000.00 
040204.63.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 76.50 
040204.63.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Elect. Plom. ; 30,000.00 
040204.84.01.04.000.000.001; Maquinarias y Equipos ; 432,650.00 
040301.61.01.05.000.000.001; Remuneraciones Unificadas  ; 28,416.00 
040301.61.02.03.000.000.001; Decimotercer Sueldo  ; 3,580.00 
040301.61.02.04.000.000.001; Decimocuarto Sueldo  ; 970.00 
040301.61.05.07.000.000.001; Honorarios ; 7,650.00 
040301.61.05.10.000.000.001;Servicios Personales por Contrato; 14,544.00 
040301.61.06.01.000.000.001; Aporte Patronal  ; 4,145.64 
040301.61.06.02.000.000.001; Fondos de Reserva  ; 3,578.56 
040301.61.07.07.000.000.001; Compensacion por Vacaciones  ; 3,580.00 
040302.61.01.05.000.000.001; Remuneraciones Unificadas  ; 43,776.00 
040302.61.01.06.000.000.001; Salarios Unificados  ; 34,560.00 
040302.61.02.03.000.000.001; Decimotercer Sueldo  ; 8,189.00 
040302.61.02.04.000.000.001; Decimocuarto Sueldo  ; 4,365.00 
040302.61.03.04.000.000.001; Compensacion por Transporte  ; 528.00 
040302.61.03.06.000.000.001; Alimentacion  ; 2,904.00 
040302.61.04.08.000.000.001; Subsidio de Antiguedad ; 1,058.58 
040302.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 10,898.26 
040302.61.05.10.000.000.001;Servicios Personales por Contrato; 19,932.00 
040302.61.05.12.000.000.001; Subrogacion  ; 1,846.34 
040302.61.05.13.000.000.001;Encargos; 1,846.34 
040302.61.06.01.000.000.001; Aporte Patronal  ; 10,703.20 
040302.61.06.02.000.000.001; Fondos de Reserva  ; 8,493.34 
040302.61.07.07.000.000.001; Compensacion por Vacaciones  ; 3,337.00 
040302.63.01.05.000.000.001; Telecomunicaciones  ; 15,300.00 
040302.75.01.07.000.000.001;Construcciones y Edificaciones; 14,913.08 
040302.84.01.03.000.000.001; Mobiliarios  ; 1,530.00 
040302.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 4,590.00 
040303.61.01.05.000.000.001; Remuneraciones Unificadas  ; 155,916.00 
040303.61.01.06.000.000.001; Salarios Unificados  ; 145,548.00 
040303.61.02.03.000.000.001; Decimotercer Sueldo  ; 30,185.00 
040303.61.02.04.000.000.001; Decimocuarto Sueldo  ; 20,370.00 
040303.61.03.04.000.000.001; Compensacion por Transporte  ; 2,772.00 
040303.61.03.06.000.000.001; Alimentacion  ; 15,246.00 
040303.61.04.08.000.000.001; Subsidio de Antiguedad ; 2,507.90 
040303.61.05.09.000.000.001; Horas extraordinarias y Suplementarias  ; 10,898.26 
040303.61.05.10.000.000.001; Servicios Personales por Contrato ; 60,756.00 
040303.61.05.12.000.000.001; Subrogacion  ; 1,846.34 
040303.61.06.01.000.000.001; Aporte Patronal  ; 40,289.99 
040303.61.06.02.000.000.001; Fondos de Reserva  ; 30,326.78 
040303.61.07.07.000.000.001; Compensacion por Vacaciones  ; 4,207.51 
040303.63.02.04.000.000.001;Edición, Impresión, Reproducción, Publicaciones, Suscripciones, Fotocopiado, Traducción, Empastado, Enmarcación, Serigrafía, Fotografía, Carnetización, Filmación e Imágenes Satelitales; 11,475.00 
040303.63.06.01.000.000.001; Consultoria Asesoria e Investigacion Especializada ; 225,000.00 
040303.63.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 765.00 
040303.63.08.04.000.000.001; Material de Oficina  ; 3,825.00 
040303.63.08.11.000.000.001; Insumos Materiales y Suministros para Construccion Elect. Plom. ; 17,212.50 
040303.84.01.04.000.000.001; Maquinarias y Equipos ; 17,212.50 
